id,name,city,address_1,address_2,lat,lon
18498302,"Mezzanine Level - BIPB Offices, 46 New Broad Street","London","EC2M 1JH",,51.517208,-0.084844
18514922,"Floor 4, Greater London House","London","Mornington Crescent, NW1 7EJ",,0,0
18519322,"Level 39","London","One Canada Square, Canary Wharf, E14 5AB",,51.504963,-0.019462
18542002,"Ticketmaster","London","4 Pentonville Road, N1 9HF",,0,0
18560922,"Hult International Business School,","London"," London 37-38 John St, WC1N 2AT",,51.521698,-0.115417
18647572,"UCL Medical Sciences Building -  Room number: 131 A V Hill Lecture Theatre","London","Malet Place, WC1E 6BT",,51.524784,-0.133439
18673182,"FDM Group","London","Cottons Centre, Cottons Ln, London SE1 2QG, UK",,51.506077,-0.084735
18690682,"The Fable","London","52 Holborn Viaduct  ",,51.517159,-0.104827
18755392,"Hotels.com","London","Angel Building, 407 St John St","EC1V",51.53138,-0.106974
18816862,"Dennis Publishing ","London","30 Cleveland Street ",,51.519791,-0.137837
18863282,"Dennis Publishing ","London","30 Cleveland Street",,51.519791,-0.137837
1890531,"47 Chandos Place, Covent Garden","London","WC2N 4HS",,51.509769,-0.125783
18929802,"Lyst HQ, 48 Hoxton Square"," N1 6PB","London",,51.527145,-0.081472
18951172,"12a Club","Cambridge","12a Market Hill, CB2 3NJ",,52.205441,0.119665
18960762,"Central Working Whitechapel","London","68-89 Mile End Road, E1 4TT",,51.520901,-0.052804
1907181,"Atos Origin Offices","London","4 Triton Square, NW1 3HG",,51.525173,-0.140431
19136882,"IDEALondon","London","69 Wilson St, EC2A 2BB ",,51.521976,-0.084831
19146242,"The Eight Bells Pub.","London SW6 3JS","89 Fulham High Street",,51.468067,-0.210104
19264952,"Lyst Studios","N1 6PB","48 Hoxton Square London",,51.527145,-0.081472
19401142,"UCL Malet Place Engineering 1.03","London","WC1E 6BT",,51.524784,-0.133439
19488942,"Net-A-Porter HQ ","London","1 The Village Offices, Westfield London Shopping Centre, W12 7GF , London",,51.50758,-0.22128
1950331,"Atos Origin Offices, LTQ Meeting Room","London","4 Triton Square, London NW1 3HG",,51.525173,-0.140431
19504802,"Royal Statistical Society","EC1Y 8LX","12 Errol St, London",,51.522533,-0.090934
19580202,"Parkside Building, Birmingham City University","Birmingham","5 Cardigan Street, B4 7BD",,52.484383,-1.889389
19580202,"Parkside Building, Birmingham City University","Birmingham","5 Cardigan Street, B4 7BD",,52.48449,-1.884325
19588162,"Park Plaza Westminster Bridge","London","200 Westminster Bridge Road",,51.498829,-0.112366
19597392,"Betfair ","London","Hammersmith Embankment Winslow Road, London, England W6 9HP",,51.485962,-0.225391
19679392,"Huddle ","London","1 Braham Street, Maersk House London, E1 8EP",,51.51429,-0.071736
19725082,"McGregor Boyall boardroom","London","110 Middlesex Street, E1 7JH",,51.517891,-0.078027
19768252,"Pivotal","London","4th Floor Bentima House, 168-172 Old Street, EC1V 9BP",,51.525036,-0.090498
19798562,"Microsoft Accelerator, Central Working (Whitechapel)","London","69-89 Mile End Road, London, E1 4TT",,51.520901,-0.052804
1985611,"Canonical Group Limited","London","27th Floor Millbank Tower 21-24 Millbank, SW1P 4QP",,51.491699,-0.12557
